YEAR/MONTH;H_VIAXEIROS;H_NOITES;H_ESTAD_MEDIA;TR_VIAXEIROS;TR_NOITES;TR_ESTAD_MEDIA;DE_ONDE;PROVINCIA
2021/Xaneiro;5173;9931;..;63;127;..;Residentes en Espa–a;LUGO
2021/Febreiro;4735;9362;..;31;54;..;Residentes en Espa–a;LUGO
2021/Marzo;12237;19878;..;631;1201;..;Residentes en Espa–a;LUGO
2021/Abril;13877;23563;..;1278;2247;..;Residentes en Espa–a;LUGO
2021/Maio;24045;38687;..;2326;3413;..;Residentes en Espa–a;LUGO
2021/Xu–o;39225;64772;..;2682;4279;..;Residentes en Espa–a;LUGO
2021/Xullo;73480;124031;..;6265;11907;..;Residentes en Espa–a;LUGO
2021/Agosto;100984;183550;..;10259;25429;..;Residentes en Espa–a;LUGO
2021/Setembro;64093;104482;..;4712;9275;..;Residentes en Espa–a;LUGO
2021/Outubro;50773;84467;..;4260;7808;..;Residentes en Espa–a;LUGO
2021/Novembro;26657;45893;..;1920;3516;..;Residentes en Espa–a;LUGO
2021/Decembro;19059;34604;..;1622;3114;..;Residentes en Espa–a;LUGO
2022/Xaneiro;15178;26543;..;395;793;..;Residentes en Espa–a;LUGO
2022/Febreiro;20387;35554;..;568;1071;..;Residentes en Espa–a;LUGO
2022/Marzo;25183;42589;..;1048;1836;..;Residentes en Espa–a;LUGO
2022/Abril;46688;73448;..;3708;6538;..;Residentes en Espa–a;LUGO
2022/Maio;46610;69719;..;3039;4524;..;Residentes en Espa–a;LUGO
2022/Xu–o;48858;81414;..;3278;5610;..;Residentes en Espa–a;LUGO
2022/Xullo;71689;123736;..;5683;13409;..;Residentes en Espa–a;LUGO
2022/Agosto;90797;167735;..;8939;23990;..;Residentes en Espa–a;LUGO
2022/Setembro;61765;99751;..;4130;8125;..;Residentes en Espa–a;LUGO
2022/Outubro;46484;79102;..;3449;5859;..;Residentes en Espa–a;LUGO
2022/Novembro;26377;46347;..;2057;3426;..;Residentes en Espa–a;LUGO
2022/Decembro;22705;39049;..;1685;3812;..;Residentes en Espa–a;LUGO
2023/Xaneiro;18271;32751;..;322;725;..;Residentes en Espa–a;LUGO
