"Destinos","Indicadores","Orixe dos viaxeiros","CodTempo","Tempo","DatoN","DatoT"
"A Coruña e As Mariñas","Indicador Área","Todas",2023,"2023",3201,"3.201"
"A Coruña e As Mariñas","Indicador Área","Fóra de Galicia",2011,"2011",1835,"1.835"
"A Coruña e As Mariñas","Indicador Área","Fóra de Galicia",2017,"2017",2293,"2.293"
"A Coruña e As Mariñas","Indicador Área","Fóra de Galicia",2018,"2018",2147,"2.147"
"A Coruña e As Mariñas","Indicador Área","Fóra de Galicia",2019,"2019",2510,"2.510"
"A Coruña e As Mariñas","Indicador Área","Fóra de Galicia",2020,"2020",944,"944"
"A Coruña e As Mariñas","Indicador Área","Fóra de Galicia",2021,"2021",1592,"1.592"
"A Coruña e As Mariñas","Indicador Área","Fóra de Galicia",2022,"2022",2218,"2.218"
"A Coruña e As Mariñas","Indicador Área","Fóra de Galicia",2023,"2023",2330,"2.330"
"A Coruña e As Mariñas","Indicador Costa","Todas",2011,"2011",5933,"5.933"
"A Coruña e As Mariñas","Indicador Costa","Todas",2017,"2017",7031,"7.031"
"A Coruña e As Mariñas","Indicador Costa","Todas",2018,"2018",6923,"6.923"
"A Coruña e As Mariñas","Indicador Costa","Todas",2019,"2019",7527,"7.527"
"A Coruña e As Mariñas","Indicador Costa","Todas",2020,"2020",3345,"3.345"
"A Coruña e As Mariñas","Indicador Costa","Todas",2021,"2021",5295,"5.295"
"A Coruña e As Mariñas","Indicador Costa","Todas",2022,"2022",6826,"6.826"
"A Coruña e As Mariñas","Indicador Costa","Todas",2023,"2023",7246,"7.246"
"A Coruña e As Mariñas","Indicador Costa","Fóra de Galicia",2011,"2011",4152,"4.152"
"A Coruña e As Mariñas","Indicador Costa","Fóra de Galicia",2017,"2017",5191,"5.191"
"A Coruña e As Mariñas","Indicador Costa","Fóra de Galicia",2018,"2018",4859,"4.859"
"A Coruña e As Mariñas","Indicador Costa","Fóra de Galicia",2019,"2019",5682,"5.682"
"A Coruña e As Mariñas","Indicador Costa","Fóra de Galicia",2020,"2020",2137,"2.137"
"A Coruña e As Mariñas","Indicador Costa","Fóra de Galicia",2021,"2021",3604,"3.604"
"A Coruña e As Mariñas","Indicador Costa","Fóra de Galicia",2022,"2022",5020,"5.020"
"A Coruña e As Mariñas","Indicador Costa","Fóra de Galicia",2023,"2023",5274,"5.274"
"A Coruña e As Mariñas","Indicador Poboación (1)","Todas",2011,"2011",0.78,"0,78"
"A Coruña e As Mariñas","Indicador Poboación (1)","Todas",2017,"2017",0.91,"0,91"
"A Coruña e As Mariñas","Indicador Poboación (1)","Todas",2018,"2018",0.89,"0,89"
"A Coruña e As Mariñas","Indicador Poboación (1)","Todas",2019,"2019",0.96,"0,96"
"A Coruña e As Mariñas","Indicador Poboación (1)","Todas",2020,"2020",0.43,"0,43"
"A Coruña e As Mariñas","Indicador Poboación (1)","Todas",2021,"2021",0.68,"0,68"
"A Coruña e As Mariñas","Indicador Poboación (1)","Todas",2022,"2022",0.86,"0,86"
"A Coruña e As Mariñas","Indicador Poboación (1)","Todas",2023,"2023",0.91,"0,91"
"A Coruña e As Mariñas","Indicador Poboación (1)","Fóra de Galicia",2011,"2011",0.54,"0,54"
"A Coruña e As Mariñas","Indicador Poboación (1)","Fóra de Galicia",2017,"2017",0.67,"0,67"
"A Coruña e As Mariñas","Indicador Poboación (1)","Fóra de Galicia",2018,"2018",0.63,"0,63"
"A Coruña e As Mariñas","Indicador Poboación (1)","Fóra de Galicia",2019,"2019",0.73,"0,73"
"A Coruña e As Mariñas","Indicador Poboación (1)","Fóra de Galicia",2020,"2020",0.27,"0,27"
"A Coruña e As Mariñas","Indicador Poboación (1)","Fóra de Galicia",2021,"2021",0.46,"0,46"
"A Coruña e As Mariñas","Indicador Poboación (1)","Fóra de Galicia",2022,"2022",0.63,"0,63"
"A Coruña e As Mariñas","Indicador Poboación (1)","Fóra de Galicia",2023,"2023",0.66,"0,66"
"A Coruña e As Mariñas","Indicador Poboación (2)","Todas",2011,"2011",2.83,"2,83"
"A Coruña e As Mariñas","Indicador Poboación (2)","Todas",2017,"2017",3.33,"3,33"
"A Coruña e As Mariñas","Indicador Poboación (2)","Todas",2018,"2018",3.26,"3,26"
"A Coruña e As Mariñas","Indicador Poboación (2)","Todas",2019,"2019",3.52,"3,52"
"A Coruña e As Mariñas","Indicador Poboación (2)","Todas",2020,"2020",1.56,"1,56"
"A Coruña e As Mariñas","Indicador Poboación (2)","Todas",2021,"2021",2.47,"2,47"
"A Coruña e As Mariñas","Indicador Poboación (2)","Todas",2022,"2022",3.14,"3,14"
"A Coruña e As Mariñas","Indicador Poboación (2)","Todas",2023,"2023",3.32,"3,32"
"A Coruña e As Mariñas","Indicador Poboación (2)","Fóra de Galicia",2011,"2011",1.98,"1,98"
"A Coruña e As Mariñas","Indicador Poboación (2)","Fóra de Galicia",2017,"2017",2.46,"2,46"
"A Coruña e As Mariñas","Indicador Poboación (2)","Fóra de Galicia",2018,"2018",2.29,"2,29"
"A Coruña e As Mariñas","Indicador Poboación (2)","Fóra de Galicia",2019,"2019",2.66,"2,66"
