"Destinos,""Indicadores"",""Orixe dos viaxeiros"",""CodTempo"",""Tempo"",""DatoN"",""DatoT"""
"Costa da Morte,""Indicador Estacional (2)"",""Todas"",2011,""2011"",,""-"""
"Deza - Tabeir—s,""Indicador Estacional (2)"",""Todas"",2011,""2011"",,""-"""
"Ferrolterra,""Indicador Estacional (2)"",""Todas"",2011,""2011"",,""-"""
"Lugo e a Terra Ch‡,""Indicador Estacional (2)"",""Todas"",2011,""2011"",,""-"""
"Manzaneda - Trevinca,""Indicador Estacional (2)"",""Todas"",2011,""2011"",,""-"""
"Mari–a Lucense,""Indicador Estacional (2)"",""Todas"",2011,""2011"",,""-"""
"O Ribeiro,""Indicador Estacional (2)"",""Todas"",2011,""2011"",,""-"""
"R’a de Arousa,""Indicador Estacional (2)"",""Todas"",2011,""2011"",,""-"""
"R’a de Muros e Noia,""Indicador Estacional (2)"",""Todas"",2011,""2011"",,""-"""
"R’a de Vigo e Baixo Mi–o,""Indicador Estacional (2)"",""Todas"",2011,""2011"",,""-"""
"R’a e Terras de Pontevedra,""Indicador Estacional (2)"",""Todas"",2011,""2011"",,""-"""
"Ribeira Sacra,""Indicador Estacional (2)"",""Todas"",2011,""2011"",,""-"""
"Terras de Ourense e Allariz,""Indicador Estacional (2)"",""Todas"",2011,""2011"",,""-"""
"Terras de Santiago,""Indicador Estacional (2)"",""Todas"",2011,""2011"",,""-"""
"Ver’n - Viana,""Indicador Estacional (2)"",""Todas"",2011,""2011"",,""-"""
"Galicia,""Noites"",""F—ra de Galicia"",2011,""2011"",5744916,""5.744.916"""
"A Coru–a e As Mari–as,""Noites"",""F—ra de Galicia"",2011,""2011"",801809,""801.809"""
"Ancares - Courel,""Noites"",""F—ra de Galicia"",2011,""2011"",44297,""44.297"""
"Celanova - Limia,""Noites"",""F—ra de Galicia"",2011,""2011"",29581,""29.581"""
"Costa da Morte,""Noites"",""F—ra de Galicia"",2011,""2011"",128149,""128.149"""
"Deza - Tabeir—s,""Noites"",""F—ra de Galicia"",2011,""2011"",65675,""65.675"""
"Ferrolterra,""Noites"",""F—ra de Galicia"",2011,""2011"",242070,""242.070"""
"Lugo e a Terra Ch‡,""Noites"",""F—ra de Galicia"",2011,""2011"",314873,""314.873"""
"Manzaneda - Trevinca,""Noites"",""F—ra de Galicia"",2011,""2011"",16767,""16.767"""
"Mari–a Lucense,""Noites"",""F—ra de Galicia"",2011,""2011"",200282,""200.282"""
"O Ribeiro,""Noites"",""F—ra de Galicia"",2011,""2011"",54433,""54.433"""
"R’a de Arousa,""Noites"",""F—ra de Galicia"",2011,""2011"",1187328,""1.187.328"""
"R’a de Muros e Noia,""Noites"",""F—ra de Galicia"",2011,""2011"",46243,""46.243"""
"R’a de Vigo e Baixo Mi–o,""Noites"",""F—ra de Galicia"",2011,""2011"",788630,""788.630"""
"R’a e Terras de Pontevedra,""Noites"",""F—ra de Galicia"",2011,""2011"",370663,""370.663"""
"Ribeira Sacra,""Noites"",""F—ra de Galicia"",2011,""2011"",136171,""136.171"""
"Terras de Ourense e Allariz,""Noites"",""F—ra de Galicia"",2011,""2011"",136915,""136.915"""
"Terras de Santiago,""Noites"",""F—ra de Galicia"",2011,""2011"",1154515,""1.154.515"""
"Ver’n - Viana,""Noites"",""F—ra de Galicia"",2011,""2011"",26515,""26.515"""
"Galicia,""Indicador ‡rea"",""F—ra de Galicia"",2011,""2011"",194,""194"""
"A Coru–a e As Mari–as,""Indicador ‡rea"",""F—ra de Galicia"",2011,""2011"",852,""852"""
"Ancares - Courel,""Indicador ‡rea"",""F—ra de Galicia"",2011,""2011"",20,""20"""
"Celanova - Limia,""Indicador ‡rea"",""F—ra de Galicia"",2011,""2011"",17,""17"""
"Costa da Morte,""Indicador ‡rea"",""F—ra de Galicia"",2011,""2011"",75,""75"""
"Deza - Tabeir—s,""Indicador ‡rea"",""F—ra de Galicia"",2011,""2011"",42,""42"""
"Ferrolterra,""Indicador ‡rea"",""F—ra de Galicia"",2011,""2011"",152,""152"""
"Lugo e a Terra Ch‡,""Indicador ‡rea"",""F—ra de Galicia"",2011,""2011"",74,""74"""
"Manzaneda - Trevinca,""Indicador ‡rea"",""F—ra de Galicia"",2011,""2011"",12,""12"""
"Mari–a Lucense,""Indicador ‡rea"",""F—ra de Galicia"",2011,""2011"",144,""144"""
"O Ribeiro,""Indicador ‡rea"",""F—ra de Galicia"",2011,""2011"",54,""54"""
"R’a de Arousa,""Indicador ‡rea"",""F—ra de Galicia"",2011,""2011"",1886,""1.886"""
"R’a de Muros e Noia,""Indicador ‡rea"",""F—ra de Galicia"",2011,""2011"",115,""115"""
"R’a de Vigo e Baixo Mi–o,""Indicador ‡rea"",""F—ra de Galicia"",2011,""2011"",489,""489"""
"R’a e Terras de Pontevedra,""Indicador ‡rea"",""F—ra de Galicia"",2011,""2011"",380,""380"""
"Ribeira Sacra,""Indicador ‡rea"",""F—ra de Galicia"",2011,""2011"",53,""53"""
"Terras de Ourense e Allariz,""Indicador ‡rea"",""F—ra de Galicia"",2011,""2011"",172,""172"""
"Terras de Santiago,""Indicador ‡rea"",""F—ra de Galicia"",2011,""2011"",381,""381"""
"Ver’n - Viana,""Indicador ‡rea"",""F—ra de Galicia"",2011,""2011"",15,""15"""
"Galicia,""Indicador Costa"",""F—ra de Galicia"",2011,""2011"",2271,""2.271"""
"A Coru–a e As Mari–as,""Indicador Costa"",""F—ra de Galicia"",2011,""2011"",4159,""4.159"""
"Ancares - Courel,""Indicador Costa"",""F—ra de Galicia"",2011,""2011"",,""-"""
"Celanova - Limia,""Indicador Costa"",""F—ra de Galicia"",2011,""2011"",,""-"""
"Costa da Morte,""Indicador Costa"",""F—ra de Galicia"",2011,""2011"",281,""281"""
"Deza - Tabeir—s,""Indicador Costa"",""F—ra de Galicia"",2011,""2011"",,""-"""
"Ferrolterra,""Indicador Costa"",""F—ra de Galicia"",2011,""2011"",506,""506"""
"Lugo e a Terra Ch‡,""Indicador Costa"",""F—ra de Galicia"",2011,""2011"",,""-"""
"Manzaneda - Trevinca,""Indicador Costa"",""F—ra de Galicia"",2011,""2011"",,""-"""
"Mari–a Lucense,""Indicador Costa"",""F—ra de Galicia"",2011,""2011"",763,""763"""
"O Ribeiro,""Indicador Costa"",""F—ra de Galicia"",2011,""2011"",,""-"""
"R’a de Arousa,""Indicador Costa"",""F—ra de Galicia"",2011,""2011"",2397,""2.397"""
"R’a de Muros e Noia,""Indicador Costa"",""F—ra de Galicia"",2011,""2011"",323,""323"""
"R’a de Vigo e Baixo Mi–o,""Indicador Costa"",""F—ra de Galicia"",2011,""2011"",2693,""2.693"""
"R’a e Terras de Pontevedra,""Indicador Costa"",""F—ra de Galicia"",2011,""2011"",1781,""1.781"""
"Ribeira Sacra,""Indicador Costa"",""F—ra de Galicia"",2011,""2011"",,""-"""
"Terras de Ourense e Allariz,""Indicador Costa"",""F—ra de Galicia"",2011,""2011"",,""-"""
"Terras de Santiago,""Indicador Costa"",""F—ra de Galicia"",2011,""2011"",,""-"""
"Ver’n - Viana,""Indicador Costa"",""F—ra de Galicia"",2011,""2011"",,""-"""
"Galicia,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2011,""2011"",0.57,""0,57"""
"A Coru–a e As Mari–as,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2011,""2011"",0.52,""0,52"""
"Ancares - Courel,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2011,""2011"",0.59,""0,59"""
"Celanova - Limia,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2011,""2011"",0.17,""0,17"""
"Costa da Morte,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2011,""2011"",0.29,""0,29"""
"Deza - Tabeir—s,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2011,""2011"",0.24,""0,24"""
"Ferrolterra,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2011,""2011"",0.33,""0,33"""
"Lugo e a Terra Ch‡,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2011,""2011"",0.44,""0,44"""
"Manzaneda - Trevinca,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2011,""2011"",0.14,""0,14"""
"Mari–a Lucense,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2011,""2011"",0.73,""0,73"""
"O Ribeiro,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2011,""2011"",0.30,""0,30"""
"R’a de Arousa,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2011,""2011"",1.67,""1,67"""
"R’a de Muros e Noia,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2011,""2011"",0.28,""0,28"""
"R’a de Vigo e Baixo Mi–o,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2011,""2011"",0.41,""0,41"""
"R’a e Terras de Pontevedra,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2011,""2011"",0.45,""0,45"""
"Ribeira Sacra,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2011,""2011"",0.57,""0,57"""
"Terras de Ourense e Allariz,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2011,""2011"",0.25,""0,25"""
"Terras de Santiago,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2011,""2011"",1.16,""1,16"""
"Ver’n - Viana,""Indicador Poboaci—n (1)"",""F—ra de Galicia"",2011,""2011"",0.20,""0,20"""
"Galicia,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2011,""2011"",2.07,""2,07"""
"A Coru–a e As Mari–as,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2011,""2011"",1.88,""1,88"""
"Ancares - Courel,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2011,""2011"",2.14,""2,14"""
"Celanova - Limia,""Indicador Poboaci—n (2)"",""F—ra de Galicia"",2011,""2011"",0.60,""0,60"""
