year,rgn_id,fao_rgn,taxon_scientific_name,taxon_common_name,taxon_key,tons,stock_id
1950,182,27,Peristediidae,"Armored searobins, gurnards",400581,0.0202006112474101,Peristediidae-27
1950,182,27,Phycis,"Gunnels, forkbeards",509303,13.6771403723547,Phycis-27
1950,182,27,Phycis blennoides,Greater forkbeard,601340,3.31297185529705,Phycis_blennoides-27
1950,182,27,Phycis phycis,Forkbeard,601747,5.09315473279668,Phycis_phycis-27
1950,182,27,Plectorhinchus mediterraneus,Rubberlip grunt,600398,44.4558110587541,Plectorhinchus_mediterraneus-27
1950,182,27,Pleuronectes platessa,European plaice,601342,9.50380820589283,Pleuronectes_platessa-27
1950,182,27,Pleuronectidae,Righteye flounders,400440,65.9610069763599,Pleuronectidae-27
1950,182,27,Pleuronectiformes,Flatfishes,300061,22.262288922432,Pleuronectiformes-27
1950,182,27,Pollachius pollachius,Pollack,600034,3915.52623075369,Pollachius_pollachius-27
1950,182,27,Pomadasys incisus,Bastard grunt,605003,10.4600717031593,Pomadasys_incisus-27
1950,182,27,Pomatomus saltatrix,Bluefish,600364,19.4195379404433,Pomatomus_saltatrix-27
1950,182,27,Portunidae,Swimming crabs,490031,7.4954497114335,Portunidae-27
1950,182,27,Prionace glauca,Blue shark,600898,2.46834960139947,Prionace_glauca-27
1950,182,27,Raja,"Stingrays, skates",500108,94.5311533130808,Raja-27
1950,182,27,Raja miraletus,Brown ray,605014,0.121864629652867,Raja_miraletus-27
1950,182,27,Rajidae,Stingrays,400019,9.03933253747001,Rajidae-27
1950,182,27,Ruditapes decussatus,Grooved carpet shell,690166,4.90235060126275,Ruditapes_decussatus-27
1950,182,27,Sarda sarda,Atlantic bonito,600115,93.3339374126514,Sarda_sarda-27
1950,182,27,Sardina pilchardus,European pilchard,601350,21573.626892222,Sardina_pilchardus-27
1950,182,27,Sardinella aurita,Round sardinella,601043,985.010429484633,Sardinella_aurita-27
1950,182,27,Sarpa salpa,Salema,600204,2.49992139981662,Sarpa_salpa-27
1950,182,27,Sciaena umbra,Brown meagre,601707,13.9170264898028,Sciaena_umbra-27
1950,182,27,Sciaenidae,"Drums, croakers",400331,12.7677550656146,Sciaenidae-27
1950,182,27,Scomber,Chub mackerels,500142,0.466225349193648,Scomber-27
1950,182,27,Scomber colias,Atlantic chub mackerel,654736,0.0607817056314268,Scomber_colias-27
1950,182,27,Scomberomorus,Spanish mackerels,500487,0.00167184466794414,Scomberomorus-27
1950,182,27,Scomber scombrus,Atlantic mackerel,600118,1386.11520056515,Scomber_scombrus-27
1950,182,27,Scombridae,"Mackerels, tunas, bonitos",400416,156.738973342388,Scombridae-27
1950,182,27,Scophthalmidae,Turbots,400515,5.49950845994285,Scophthalmidae-27
1950,182,27,Scophthalmus maximus,Turbot,601348,169.10260290388,Scophthalmus_maximus-27
1950,182,27,Scophthalmus rhombus,Brill,600529,0.00320187687070562,Scophthalmus_rhombus-27
1950,182,27,Scorpaena,Scorpionfishes,500134,10.770989532,Scorpaena-27
1950,182,27,Scorpaena porcus,Black scorpionfish,601758,27.3310931987138,Scorpaena_porcus-27
1950,182,27,Scorpaena scrofa,Red scorpionfish,601759,16.2210695606782,Scorpaena_scrofa-27
1950,182,27,Scyliorhinus canicula,Smallspotted catshark,600845,1.9618298235559,Scyliorhinus_canicula-27
1950,182,27,Sebastidae,"Rockfishes, rockcods, thornyheads",400573,4.12929860258477,Sebastidae-27
1950,182,27,Sepia officinalis,Common cuttlefish,690085,335.529038897731,Sepia_officinalis-27
1950,182,27,Sepiidae,Cuttlefishes,490011,1.37293725187713,Sepiidae-27
1950,182,27,Seriola dumerili,Greater amberjack,601005,214.7075564904,Seriola_dumerili-27
1950,182,27,Serranus,Groupers,500901,0.0134236563505802,Serranus-27
1950,182,27,Serranus cabrilla,Comber,601353,64.5948105507416,Serranus_cabrilla-27
1950,182,27,Solea,Soles,500618,283.94111312272,Solea-27
1950,182,27,Solea senegalensis,Senegalese sole,608852,0.908094314120569,Solea_senegalensis-27
1950,182,27,Solea solea,Common sole,600525,36.0131701175752,Solea_solea-27
1950,182,27,Soleidae,Soles,400441,16.7369002097477,Soleidae-27
1950,182,27,Sparidae,"Porgies, seabreams",400330,6101.63633596648,Sparidae-27
1950,182,27,Sparus aurata,Gilthead seabream,601164,46.4281621890348,Sparus_aurata-27
1950,182,27,Sphoeroides,Puffers,509125,5.35496889845531,Sphoeroides-27
1950,182,27,Sphyraena,"Barracudas, sennets",500372,25.1433023334672,Sphyraena-27
1950,182,27,Spicara maena,Blotched picarel,604887,5.26519591048719,Spicara_maena-27
1950,182,27,Spondyliosoma cantharus,Black seabream,601356,10.0292010645,Spondyliosoma_cantharus-27
1950,182,27,Sprattus sprattus,European sprat,601357,24.0714025687552,Sprattus_sprattus-27
1950,182,27,Squalidae,Dogfish sharks,400013,3996.03200412769,Squalidae-27
1950,182,27,Squaliformes,"Bramble, sleeper, dogfish sharks",300009,90.1538335153407,Squaliformes-27
1950,182,27,Squalus,Dogfishes,500107,15.4487985011889,Squalus-27
1950,182,27,Tetrapturus belone,Mediterranean spearfish,601823,3.4488173011078e-4,Tetrapturus_belone-27
1950,182,27,Thunnus,Tunas,501905,7.15315939848586,Thunnus-27
1950,182,27,Thunnus thynnus,Atlantic bluefin tuna,600147,2634.50792052168,Thunnus_thynnus-27
1950,182,27,Trachinotus ovatus,Pompano,601773,0.295585063939849,Trachinotus_ovatus-27
1950,182,27,Trachinus draco,Greater weever,601363,20.3239607712756,Trachinus_draco-27
1950,182,27,Trachurus,"Jacks, horse mackerels",500661,46721.800114267,Trachurus-27
1950,182,27,Trachurus mediterraneus,Mediterranean horse mackerel,601278,0.00943322188865126,Trachurus_mediterraneus-27
1950,182,27,Trachurus trachurus,Atlantic horse mackerel,601365,1560.91710690104,Trachurus_trachurus-27
1950,182,27,Triglidae,"Searobins, gurnards",400266,2137.73473894857,Triglidae-27
1950,182,27,Trigloporus lastoviza,Streaked gurnard,605081,0.0388985936299853,Trigloporus_lastoviza-27
1950,182,27,Xiphias gladius,Swordfish,600226,170.673914437,Xiphias_gladius-27
1950,182,34,Acanthocardia tuberculata,Tuberculate cockle,690752,50.9652825623139,Acanthocardia_tuberculata-34
1950,182,34,Aequipecten opercularis,Queen scallop,690314,0.00330458829354311,Aequipecten_opercularis-34
1950,182,34,Alopias vulpinus,Thresher,602535,5.47147062322003e-6,Alopias_vulpinus-34
1950,182,34,Alosa,Shads,500352,0.665207879948777,Alosa-34
1950,182,34,Anguilla anguilla,European eel,600035,1.00562695419099,Anguilla_anguilla-34
1950,182,34,Argentina sphyraena,European argentine,600020,6.8030525123689e-4,Argentina_sphyraena-34
1950,182,34,Argyrosomus regius,Meagre,600418,0.00253503330252094,Argyrosomus_regius-34
1950,182,34,Auxis,Bullet and frigate tunas,501163,0.318562811909987,Auxis-34
1950,182,34,Auxis rochei,Bullet tuna,600093,0.0050707608071819,Auxis_rochei-34
1950,182,34,Balistes capriscus,Grey triggerfish,607327,5.6251774935671e-4,Balistes_capriscus-34
1950,182,34,Belone belone,Garfish,600047,0.00123379395575033,Belone_belone-34
1950,182,34,Bivalvia,Clams,290004,5.60918701860871,Bivalvia-34
1950,182,34,Boops boops,Bogue,600203,1.23777479673936,Boops_boops-34
1950,182,34,Brama brama,Atlantic pomfret,600391,3.24746724964422e-6,Brama_brama-34
1950,182,34,Campogramma glaycos,Vadigo,601894,8.90868382997449e-6,Campogramma_glaycos-34
1950,182,34,Carangidae,"Jacks, pompanos",400314,0.00151559310310674,Carangidae-34
1950,182,34,Caranx,Jacks,500467,0.37431047897079,Caranx-34
1950,182,34,Cardiidae,Cockles,490058,3.7111778980677e-4,Cardiidae-34
