sci_name,source_file
Pagrus auriga,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Pagellus erythrinus,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Pagellus acarne,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Dentex macrophthalmus,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Pagellus bogaraveo,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Dentex dentex,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Boops boops,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Sparus aurata,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Spondyliosoma cantharus,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Diplodus annularis,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Diplodus vulgaris,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Diplodus puntazzo,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Spicara maena,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Dicentrarchus punctatus,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Argyrosomus regius,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Sciaena umbra,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Umbrina cirrosa,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Antigonia capros,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Dicentrarchus labrax,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Centracanthus cirrus,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Morone saxatilis,BUTTERFLYFISH_ANGELFISH_ALLIES_intersection
Xiphias gladius,CARANGIFORM_FISHES_intersection
Coryphaena hippurus,CARANGIFORM_FISHES_intersection
Tetrapturus pfluegeri,CARANGIFORM_FISHES_intersection
Makaira nigricans,CARANGIFORM_FISHES_intersection
Kajikia albida,CARANGIFORM_FISHES_intersection
Istiophorus platypterus,CARANGIFORM_FISHES_intersection
Bathysolea profundicola,CARANGIFORM_FISHES_intersection
Remora remora,CARANGIFORM_FISHES_intersection
Phtheirichthys lineatus,CARANGIFORM_FISHES_intersection
Trachurus trachurus,CARANGIFORM_FISHES_intersection
Trachurus mediterraneus,CARANGIFORM_FISHES_intersection
Scophthalmus maximus,CARANGIFORM_FISHES_intersection
Lichia amia,CARANGIFORM_FISHES_intersection
Seriola dumerili,CARANGIFORM_FISHES_intersection
Trachurus picturatus,CARANGIFORM_FISHES_intersection
Symphurus nigrescens,CARANGIFORM_FISHES_intersection
Lepidorhombus boscii,CARANGIFORM_FISHES_intersection
Lepidorhombus whiffiagonis,CARANGIFORM_FISHES_intersection
Arnoglossus imperialis,CARANGIFORM_FISHES_intersection
Buglossidium luteum,CARANGIFORM_FISHES_intersection
Dicologlossa cuneata,CARANGIFORM_FISHES_intersection
Pseudocaranx dentex,CARANGIFORM_FISHES_intersection
Seriola fasciata,CARANGIFORM_FISHES_intersection
Naucrates ductor,CARANGIFORM_FISHES_intersection
Pegusa lascaris,CARANGIFORM_FISHES_intersection
Sphyraena sphyraena,CARANGIFORM_FISHES_intersection
Campogramma glaycos,CARANGIFORM_FISHES_intersection
Trachinotus ovatus,CARANGIFORM_FISHES_intersection
Sphyraena viridensis,CARANGIFORM_FISHES_intersection
Arnoglossus laterna,CARANGIFORM_FISHES_intersection
Bothus podas,CARANGIFORM_FISHES_intersection
Scophthalmus rhombus,CARANGIFORM_FISHES_intersection
Zeugopterus regius,CARANGIFORM_FISHES_intersection
Microchirus variegatus,CARANGIFORM_FISHES_intersection
Seriola carpenteri,CARANGIFORM_FISHES_intersection
Zeugopterus punctatus,CARANGIFORM_FISHES_intersection
Pleuronectes platessa,CARANGIFORM_FISHES_intersection
Platichthys flesus,CARANGIFORM_FISHES_intersection
Xiphias gladius,CARANGIFORM_FISHES_intersection2
Coryphaena hippurus,CARANGIFORM_FISHES_intersection2
Tetrapturus pfluegeri,CARANGIFORM_FISHES_intersection2
Makaira nigricans,CARANGIFORM_FISHES_intersection2
Kajikia albida,CARANGIFORM_FISHES_intersection2
Istiophorus platypterus,CARANGIFORM_FISHES_intersection2
Bathysolea profundicola,CARANGIFORM_FISHES_intersection2
Remora remora,CARANGIFORM_FISHES_intersection2
Phtheirichthys lineatus,CARANGIFORM_FISHES_intersection2
Trachurus trachurus,CARANGIFORM_FISHES_intersection2
Trachurus mediterraneus,CARANGIFORM_FISHES_intersection2
Scophthalmus maximus,CARANGIFORM_FISHES_intersection2
Lichia amia,CARANGIFORM_FISHES_intersection2
Seriola dumerili,CARANGIFORM_FISHES_intersection2
Trachurus picturatus,CARANGIFORM_FISHES_intersection2
Symphurus nigrescens,CARANGIFORM_FISHES_intersection2
Lepidorhombus boscii,CARANGIFORM_FISHES_intersection2
Lepidorhombus whiffiagonis,CARANGIFORM_FISHES_intersection2
Arnoglossus imperialis,CARANGIFORM_FISHES_intersection2
Buglossidium luteum,CARANGIFORM_FISHES_intersection2
Dicologlossa cuneata,CARANGIFORM_FISHES_intersection2
Pseudocaranx dentex,CARANGIFORM_FISHES_intersection2
Seriola fasciata,CARANGIFORM_FISHES_intersection2
Naucrates ductor,CARANGIFORM_FISHES_intersection2
Pegusa lascaris,CARANGIFORM_FISHES_intersection2
Sphyraena sphyraena,CARANGIFORM_FISHES_intersection2
Campogramma glaycos,CARANGIFORM_FISHES_intersection2
Trachinotus ovatus,CARANGIFORM_FISHES_intersection2
Sphyraena viridensis,CARANGIFORM_FISHES_intersection2
Arnoglossus laterna,CARANGIFORM_FISHES_intersection2
Bothus podas,CARANGIFORM_FISHES_intersection2
Scophthalmus rhombus,CARANGIFORM_FISHES_intersection2
Zeugopterus regius,CARANGIFORM_FISHES_intersection2
Microchirus variegatus,CARANGIFORM_FISHES_intersection2
Seriola carpenteri,CARANGIFORM_FISHES_intersection2
Zeugopterus punctatus,CARANGIFORM_FISHES_intersection2
Pleuronectes platessa,CARANGIFORM_FISHES_intersection2
Platichthys flesus,CARANGIFORM_FISHES_intersection2
Alosa alosa,CLUPEIFORMES_intersection2
Engraulis encrasicolus,CLUPEIFORMES_intersection2
Sardina pilchardus,CLUPEIFORMES_intersection2
Sprattus sprattus,CLUPEIFORMES_intersection2
Alosa fallax,CLUPEIFORMES_intersection2
Derichthys serpentinus,EELS_intersection2
Synaphobranchus kaupii,EELS_intersection2
Nemichthys scolopaceus,EELS_intersection2
Serrivomer beanii,EELS_intersection2
Avocettina infans,EELS_intersection2
Ilyophis brunneus,EELS_intersection2
Nessorhamphus ingolfianus,EELS_intersection2
Cyema atrum,EELS_intersection2
Eurypharynx pelecanoides,EELS_intersection2
Saccopharynx ampullaceus,EELS_intersection2
Simenchelys parasitica,EELS_intersection2
Ophisurus serpens,EELS_intersection2
Nettastoma melanurum,EELS_intersection2
Conger conger,EELS_intersection2
Gymnothorax unicolor,EELS_intersection2
Muraena helena,EELS_intersection2
Facciolella oxyrhyncha,EELS_intersection2
Dalophis imberbis,EELS_intersection2
Echelus myrus,EELS_intersection2
Pisodonophis semicinctus,EELS_intersection2
Venefica proboscidea,EELS_intersection2
Anguilla anguilla,EELS_intersection2
Mugil cephalus,FW_FISH_PART1_intersection
Syngnathus typhle,FW_FISH_PART1_intersection
Dicentrarchus punctatus,FW_FISH_PART1_intersection
Petromyzon marinus,FW_FISH_PART1_intersection
Planiliza subviridis,FW_FISH_PART1_intersection
Pomatoschistus minutus,FW_FISH_PART1_intersection
Sprattus sprattus,FW_FISH_PART1_intersection
Pleuronectes platessa,FW_FISH_PART1_intersection
Alosa fallax,FW_FISH_PART1_intersection
Dicentrarchus labrax,FW_FISH_PART1_intersection
Chelon labrosus,FW_FISH_PART1_intersection
Acipenser sturio,FW_FISH_PART1_intersection
Atherina boyeri,FW_FISH_PART1_intersection
Pomatoschistus microps,FW_FISH_PART1_intersection
Platichthys flesus,FW_FISH_PART1_intersection
