ANO,MES,PROVINCIA,RAMA,REXIME,AFILIACIONS
2009,Outubro,Pontevedra,"Actividades de axencias de viaxes, operadores turísticos, servizos de reservas e actividades relacionadas con estes",Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,591
2009,Outubro,Pontevedra,"Actividades de axencias de viaxes, operadores turísticos, servizos de reservas e actividades relacionadas con estes",Réxime de autónomos,158
2009,Outubro,Pontevedra,"Agricultura, gandeiría e pesca",Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,1409
2009,Outubro,Pontevedra,"Agricultura, gandeiría e pesca",Réxime de autónomos,7154
2009,Outubro,Pontevedra,Construción,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,28148
2009,Outubro,Pontevedra,Construción,Réxime de autónomos,10516
2009,Outubro,Pontevedra,Industria e enerxía,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,62026
2009,Outubro,Pontevedra,Industria e enerxía,Réxime de autónomos,5266
2009,Outubro,Pontevedra,Non clasificados,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,1584
2009,Outubro,Pontevedra,Non clasificados,Réxime de autónomos,0
2009,Outubro,Pontevedra,Resto de servizos,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,158751
2009,Outubro,Pontevedra,Resto de servizos,Réxime de autónomos,38697
2009,Outubro,Pontevedra,Servizos de aloxamento,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,2971
2009,Outubro,Pontevedra,Servizos de aloxamento,Réxime de autónomos,504
2009,Outubro,Pontevedra,Servizos de comidas e bebidas,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,11875
2009,Outubro,Pontevedra,Servizos de comidas e bebidas,Réxime de autónomos,7421
2009,Novembro,A Coruña,Agrario,Agrario,1409
2009,Novembro,A Coruña,Mar,Mar,6731
2009,Novembro,A Coruña,R. especial empregados fogar,R. especial empregados fogar,8473
2009,Novembro,Lugo,Agrario,Agrario,1358
2009,Novembro,Lugo,Mar,Mar,2016
2009,Novembro,Lugo,R. especial empregados fogar,R. especial empregados fogar,2831
2009,Novembro,Ourense,Agrario,Agrario,418
2009,Novembro,Ourense,Mar,Mar,0
2009,Novembro,Ourense,R. especial empregados fogar,R. especial empregados fogar,2968
2009,Novembro,Pontevedra,Agrario,Agrario,1390
2009,Novembro,Pontevedra,Mar,Mar,16148
2009,Novembro,Pontevedra,R. especial empregados fogar,R. especial empregados fogar,6188
2009,Novembro,A Coruña,"Actividades de axencias de viaxes, operadores turísticos, servizos de reservas e actividades relacionadas con estes",Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,701
2009,Novembro,A Coruña,"Actividades de axencias de viaxes, operadores turísticos, servizos de reservas e actividades relacionadas con estes",Réxime de autónomos,159
2009,Novembro,A Coruña,"Agricultura, gandeiría e pesca",Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,1882
2009,Novembro,A Coruña,"Agricultura, gandeiría e pesca",Réxime de autónomos,15443
2009,Novembro,A Coruña,Construción,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,38543
2009,Novembro,A Coruña,Construción,Réxime de autónomos,12758
2009,Novembro,A Coruña,Industria e enerxía,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,54602
2009,Novembro,A Coruña,Industria e enerxía,Réxime de autónomos,5768
2009,Novembro,A Coruña,Non clasificados,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,2104
2009,Novembro,A Coruña,Non clasificados,Réxime de autónomos,0
2009,Novembro,A Coruña,Resto de servizos,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,208164
2009,Novembro,A Coruña,Resto de servizos,Réxime de autónomos,45316
2009,Novembro,A Coruña,Servizos de aloxamento,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,2638
2009,Novembro,A Coruña,Servizos de aloxamento,Réxime de autónomos,548
2009,Novembro,A Coruña,Servizos de comidas e bebidas,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,14533
2009,Novembro,A Coruña,Servizos de comidas e bebidas,Réxime de autónomos,10088
2009,Novembro,Lugo,"Actividades de axencias de viaxes, operadores turísticos, servizos de reservas e actividades relacionadas con estes",Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,60
2009,Novembro,Lugo,"Actividades de axencias de viaxes, operadores turísticos, servizos de reservas e actividades relacionadas con estes",Réxime de autónomos,38
2009,Novembro,Lugo,"Agricultura, gandeiría e pesca",Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,993
2009,Novembro,Lugo,"Agricultura, gandeiría e pesca",Réxime de autónomos,16430
2009,Novembro,Lugo,Construción,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,10133
2009,Novembro,Lugo,Construción,Réxime de autónomos,4262
2009,Novembro,Lugo,Industria e enerxía,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,12489
2009,Novembro,Lugo,Industria e enerxía,Réxime de autónomos,2024
2009,Novembro,Lugo,Non clasificados,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,713
2009,Novembro,Lugo,Non clasificados,Réxime de autónomos,0
2009,Novembro,Lugo,Resto de servizos,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,52709
2009,Novembro,Lugo,Resto de servizos,Réxime de autónomos,13680
2009,Novembro,Lugo,Servizos de aloxamento,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,956
2009,Novembro,Lugo,Servizos de aloxamento,Réxime de autónomos,202
2009,Novembro,Lugo,Servizos de comidas e bebidas,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,4515
2009,Novembro,Lugo,Servizos de comidas e bebidas,Réxime de autónomos,2861
2009,Novembro,Ourense,"Actividades de axencias de viaxes, operadores turísticos, servizos de reservas e actividades relacionadas con estes",Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,84
2009,Novembro,Ourense,"Actividades de axencias de viaxes, operadores turísticos, servizos de reservas e actividades relacionadas con estes",Réxime de autónomos,31
2009,Novembro,Ourense,"Agricultura, gandeiría e pesca",Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,1435
2009,Novembro,Ourense,"Agricultura, gandeiría e pesca",Réxime de autónomos,4538
2009,Novembro,Ourense,Construción,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,8420
2009,Novembro,Ourense,Construción,Réxime de autónomos,4876
2009,Novembro,Ourense,Industria e enerxía,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,14388
2009,Novembro,Ourense,Industria e enerxía,Réxime de autónomos,2491
2009,Novembro,Ourense,Non clasificados,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,981
2009,Novembro,Ourense,Non clasificados,Réxime de autónomos,0
2009,Novembro,Ourense,Resto de servizos,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,47505
2009,Novembro,Ourense,Resto de servizos,Réxime de autónomos,12366
2009,Novembro,Ourense,Servizos de aloxamento,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,760
2009,Novembro,Ourense,Servizos de aloxamento,Réxime de autónomos,137
2009,Novembro,Ourense,Servizos de comidas e bebidas,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,3507
2009,Novembro,Ourense,Servizos de comidas e bebidas,Réxime de autónomos,2866
2009,Novembro,Pontevedra,"Actividades de axencias de viaxes, operadores turísticos, servizos de reservas e actividades relacionadas con estes",Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,565
2009,Novembro,Pontevedra,"Actividades de axencias de viaxes, operadores turísticos, servizos de reservas e actividades relacionadas con estes",Réxime de autónomos,152
2009,Novembro,Pontevedra,"Agricultura, gandeiría e pesca",Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,1299
2009,Novembro,Pontevedra,"Agricultura, gandeiría e pesca",Réxime de autónomos,7071
2009,Novembro,Pontevedra,Construción,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,27446
2009,Novembro,Pontevedra,Construción,Réxime de autónomos,10420
2009,Novembro,Pontevedra,Industria e enerxía,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,61441
2009,Novembro,Pontevedra,Industria e enerxía,Réxime de autónomos,5258
2009,Novembro,Pontevedra,Non clasificados,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,1826
2009,Novembro,Pontevedra,Non clasificados,Réxime de autónomos,0
2009,Novembro,Pontevedra,Resto de servizos,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,158546
2009,Novembro,Pontevedra,Resto de servizos,Réxime de autónomos,38678
2009,Novembro,Pontevedra,Servizos de aloxamento,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,2600
2009,Novembro,Pontevedra,Servizos de aloxamento,Réxime de autónomos,467
2009,Novembro,Pontevedra,Servizos de comidas e bebidas,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,11608
2009,Novembro,Pontevedra,Servizos de comidas e bebidas,Réxime de autónomos,7381
2009,Decembro,A Coruña,Agrario,Agrario,1420
2009,Decembro,A Coruña,Mar,Mar,6641
2009,Decembro,A Coruña,R. especial empregados fogar,R. especial empregados fogar,8453
2009,Decembro,Lugo,Agrario,Agrario,1355
2009,Decembro,Lugo,Mar,Mar,1836
2009,Decembro,Lugo,R. especial empregados fogar,R. especial empregados fogar,2843
2009,Decembro,Ourense,Agrario,Agrario,406
2009,Decembro,Ourense,Mar,Mar,0
2009,Decembro,Ourense,R. especial empregados fogar,R. especial empregados fogar,2955
2009,Decembro,Pontevedra,Agrario,Agrario,1333
2009,Decembro,Pontevedra,Mar,Mar,15699
2009,Decembro,Pontevedra,R. especial empregados fogar,R. especial empregados fogar,6230
2009,Decembro,A Coruña,"Actividades de axencias de viaxes, operadores turísticos, servizos de reservas e actividades relacionadas con estes",Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,663
2009,Decembro,A Coruña,"Actividades de axencias de viaxes, operadores turísticos, servizos de reservas e actividades relacionadas con estes",Réxime de autónomos,155
2009,Decembro,A Coruña,"Agricultura, gandeiría e pesca",Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,1649
2009,Decembro,A Coruña,"Agricultura, gandeiría e pesca",Réxime de autónomos,15305
2009,Decembro,A Coruña,Construción,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,35841
2009,Decembro,A Coruña,Construción,Réxime de autónomos,12684
