"year","catch","bbmsy_q2.5","bbmsy_q25","bbmsy_q50","bbmsy_q75","bbmsy_q97.5","bbmsy_sd","bbmsy_mean","species"
2022,16.57,0.778149332587171,1.17384466860304,1.33919019040325,1.45623274492391,1.62893772830314,0.218282728947715,1.29862027238729,"Palaemon serratus"
2022,60.44,0.897234059148429,1.36012731127792,1.51312654038964,1.63214026686493,1.83936596587087,0.231918691719646,1.47397687616345,"Palaemon serratus"
2006,83.9,0.923626257437591,0.995212009468678,1.05341391957532,1.19450663838884,1.7000876729359,0.201873623395839,1.12990994619855,"Sepia officinalis"
2006,1259.6,1.10694692800442,1.31253970392716,1.44518945936532,1.59669587960581,1.91030844866896,0.206717464638397,1.46336143738882,"Sepia officinalis"
2007,103.5,0.823875764121485,0.980787002598612,1.09200593915212,1.23461957581726,1.49763555924932,0.179049602616334,1.11432940320078,"Sepia officinalis"
2007,1154.9,1.07578497800385,1.29483573793226,1.4296184791526,1.5813968818145,1.82861271281138,0.198468897657988,1.43952096067231,"Sepia officinalis"
2008,102,0.81992189440928,1.00510379815495,1.14344464392241,1.29245820367214,1.51827884284159,0.189961319014475,1.15172601802705,"Sepia officinalis"
2008,1358,1.07879741344471,1.31253470215132,1.46508337391297,1.63534991109792,1.86365126625736,0.2120010821733,1.47104771186301,"Sepia officinalis"
2009,110.9,0.674811484844,0.905806977770627,1.06626687587663,1.22277785402907,1.45371300747161,0.210080395554992,1.0645700766101,"Sepia officinalis"
2009,947.3,0.96483407951844,1.19278765028116,1.38444893957153,1.56965805027764,1.80594708071832,0.234582228967169,1.38271740824951,"Sepia officinalis"
2010,149.7,0.791529013937833,1.03285452970083,1.22507923656704,1.39170804340749,1.60086769134899,0.225851892518514,1.21147427667554,"Sepia officinalis"
2010,1177.1,1.03488875428452,1.29613984867253,1.50964526151295,1.6834835187046,1.89960845977368,0.241616300591871,1.48964969962384,"Sepia officinalis"
2011,152.02,0.73842671853343,0.989560418401172,1.17772998514764,1.33023643960261,1.53483641129509,0.218937116361289,1.15941367803519,"Sepia officinalis"
2011,1030.8,0.986539213129704,1.25374419963768,1.47569944757268,1.63860320505467,1.85452485754278,0.242625323729438,1.44754653869347,"Sepia officinalis"
2012,147.16,0.772027322118621,1.03524267849736,1.23452589934811,1.38536939347723,1.58496932335459,0.225026027919445,1.20871520590844,"Sepia officinalis"
2012,966.88,1.00560733993153,1.2970774637091,1.5262974706292,1.68412874240318,1.88734718329339,0.246140673017328,1.48941656832261,"Sepia officinalis"
2013,171.57,0.840423518617935,1.09974338935269,1.29488112108047,1.43169349267551,1.62448007225107,0.216206544232271,1.26455509874611,"Sepia officinalis"
2013,1469.54,1.0408156418153,1.35222133702527,1.56325014104409,1.70440849303775,1.89656720177862,0.234277098840408,1.52350723135899,"Sepia officinalis"
2014,91.25,0.586005064101203,0.858031095589528,1.04976000671912,1.21039001176698,1.43876928986145,0.232181382504204,1.0329470641579,"Sepia officinalis"
2014,931.44,0.856006821876359,1.15572276896234,1.39421562915132,1.56289589101324,1.78882183265757,0.261388409594048,1.35818701696241,"Sepia officinalis"
2015,118.05,0.667246508311822,1.00236171935374,1.24088644201231,1.40211173133736,1.60411587427611,0.260660023302578,1.19704189355494,"Sepia officinalis"
2015,982.7,0.908001824695074,1.27969120281248,1.54247339588919,1.7060282840266,1.91386989341964,0.281741811812422,1.48491689670096,"Sepia officinalis"
2016,192.34,0.71288773854631,1.075656186776,1.29440736761121,1.43416844568024,1.62176752846712,0.24821420167403,1.2443876293731,"Sepia officinalis"
2016,1050.87,0.902564593854595,1.31485686429596,1.55175043834574,1.69360724813211,1.88556396938788,0.269481023994952,1.4896056717706,"Sepia officinalis"
2017,94.86,0.674411830074576,1.06106408429099,1.26436555098401,1.39873892463395,1.59398508871211,0.245356537342388,1.21664197948885,"Sepia officinalis"
2017,835.75,0.896757130535319,1.35851317351353,1.57947594210212,1.71982537690787,1.91122879040728,0.2726681377745,1.5168137283659,"Sepia officinalis"
2018,93.53,0.786428847953519,1.20817000500393,1.38788830139604,1.50941036412733,1.68587057008194,0.236290671415267,1.33767476021432,"Sepia officinalis"
2018,939.22,0.99760174470129,1.47900235811201,1.67115665605689,1.79442541449075,1.95246161819503,0.253190186783605,1.6085920812907,"Sepia officinalis"
2019,100.2,0.845880819708684,1.22103122887701,1.37221445833473,1.48609567470973,1.66062510917746,0.207415825424503,1.33758437537012,"Sepia officinalis"
2019,1210.9,1.04607892505146,1.50214051080929,1.6624075143293,1.77683721927119,1.93872695532012,0.228558866618404,1.61306005974567,"Sepia officinalis"
2020,90.69,0.778306191397539,1.07415049068593,1.23083629118263,1.35869730509385,1.55279799680031,0.202802698600958,1.2094722164013,"Sepia officinalis"
