"year","Galician_name","FAOcode","total_kg","total_euros","Scientific_name","English_name","Family","Order.or.higher.taxa"
2022,"Peixe sabre prateado","SFS",8063.83,36679.51,"Lepidopus caudatus","Silver scabbardfish","TRICHIURIDAE","SCOMBRIFORMES (SCOMBROIDEI)"
2022,"Peixe sapo","ANK",4684419.045,25339320.773,"Lophius budegassa","Blackbellied angler","LOPHIIDAE","LOPHIIFORMES"
2022,"Peixe xabaril","BOC",94,12.8,"Capros aper","Boarfish","CAPROIDAE","ACANTHURIFORMES"
2022,"Pejerreyes","AVX",107.6,171.57,"Atherina spp","Sand smelts NEI","ATHERINIDAE","ATHERINIFORMES"
2022,"Peneira","HLT",938.5,21947.88,"Haliotis tuberculata","Tuberculate abalone","HALIOTIDAE","GASTROPODA"
2022,"Percebe","PCB",242793.394,8311062.24700001,"Pollicipes pollicipes","Barnacle","POLLICIPEDIDAE","CIRRIPEDIA (THORACICA)"
2022,"Pescada","HKE",21963335.108,98338072.0620001,"Merluccius merluccius","European hake","MERLUCCIIDAE","GADIFORMES"
2022,"Piarda común","ATP",53652.5,121160.079,"Atherina presbyter","Sand smelt","ATHERINIDAE","ATHERINIFORMES"
2022,"Pión de altura","ARY",2006.6,4881.68,"Argentina sphyraena","Argentine","ARGENTINIDAE","ARGENTINIFORMES"
2022,"Polbo","OCC",2260843.19,20741649.801,"Octopus vulgaris","Common octopus","OCTOPODIDAE","CEPHALOPODA (OCTOPODS)"
2022,"Polbo cabezón","EOI",469105.25,1249541.875,"Eledone cirrhosa","Horned octopus","ELEDONIDAE","CEPHALOPODA (OCTOPODS)"
2022,"Pota común","SQM",359610.1,539925.883,"Illex coindetii","Broadtail shortfin squid","OMMASTREPHIDAE","CEPHALOPODA (SQUIDS)"
2022,"Pota pequena","TDQ",762258.05,1051535.83,"Todaropsis eblanae","Lesser flying squid","OMMASTREPHIDAE","CEPHALOPODA (SQUIDS)"
