"Column1","Area","Units","Country","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","Latin species name","English","Spanish","French"
"BLU","27.9.a","TLW","ES","181.48","195.95","223.7","250.43","198.32","226.2","145.43","67.94","39.83","85.95","17.93","20.89","33.9","63.5","112","142.9","194","Pomatomus saltatrix","Bluefish","Anjova","Tassergal"
"BOC","27.8.c","TLW","ES","10.5","10.7","1.02","2.44","0.05","0","0.01","0","0","0","0","0","0","0","0","0","0","Capros aper","Boarfish","Ochavo","Sanglier"
"BOC","27.9.a","TLW","ES","0.01","0","0.01","0.01","0.09","0.02","0.03","0","0","0.01","0","0","0","0","0","0","0","Capros aper","Boarfish","Ochavo","Sanglier"
"BOG","27.8.c","TLW","ES","2544.97","2033.42","2395.78","2018.39","3674.44","5369.49","9384.38","6766.73","7833.27","7218.1","9978.74","6306.88","1697","734.3","404","503.9","602.8","Boops boops","Bogue","Boga","Bogue"
"BOG","27.9.a","TLW","ES","842.43","982.8","1313.91","926.49","1433.23","2078.78","3968.96","2029.83","3247.45","3538.8","3055.77","945.93","560.9","394.2","664","256.4","398.2","Boops boops","Bogue","Boga","Bogue"
"BON","27.8.c","TLW","ES","216.07","182.35","288.76","486.85","306.08","840.36","1049.63","576.19","870.52","635.63","1248.28","278.78","93.8","35.9","44","11.6","14","Sarda sarda","Atlantic bonito","Bonito del Atlántico","Bonite à dos rayé"
"BON","27.9.a","TLW","ES","100.49","172.4","101.97","235.07","144.7","178.89","328.58","425.96","24.62","24.67","287.51","32.03","18.6","11.1","1","4.2","3.4","Sarda sarda","Atlantic bonito","Bonito del Atlántico","Bonite à dos rayé"
"BOP","27.9.a","TLW","ES","0","0","0","0.04","0","0","0","0","0","0","0","0","0","0","0","0","0","Orcynopsis unicolor","Plain bonito","Tasarte","Palomette"
"BOR","27.8.c","TLW","ES","0.19","0.25","0.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Caproidae","Boarfishes nei","Ochavos nep","Sangliers nca"
"BOR","27.9.a","TLW","ES","0.01","0.01","0","0.01","0","0","0.01","0","0","0","0","0","0","0","0","0","0","Caproidae","Boarfishes nei","Ochavos nep","Sangliers nca"
"BOY","27.8.c","TLW","ES","0.03","0","0.01","0","0","0.06","0","0.01","0.02","0","0","0","0","0","0","0","0","Bolinus brandaris","Purple dye murex","Cañailla","Murex-droite épine"
"BOY","27.9.a","TLW","ES","48.15","35.96","25.86","17.25","25.68","99.48","43.38","47.51","30.82","15.43","0","0","0","0","0","0","0","Bolinus brandaris","Purple dye murex","Cañailla","Murex-droite épine"
"BPB","27.8.c","TLW","ES","0","0","0","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","Pterycombus brama","Atlantic fanfish",NA,NA
"BPB","27.9.a","TLW","ES","0","0","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Pterycombus brama","Atlantic fanfish",NA,NA
"BPG","27.9.a","TLW","ES","0","0.03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bathypterois longipes","Abyssal spiderfish",NA,NA
"BPI","27.9.a","TLW","ES","19.63","13.39","14.1","6.9","7.85","2.03","5.29","3.52","1.02","2.07","0","0","0","0","0","0","0","Spicara maena","Blotched picarel","Chucla","Mendole"
"BRB","27.8.c","TLW","ES","88.26","68.86","105.63","122.43","172.04","429.21","237.94","225.92","308.89","358.8","734.35","817.94","184.3","110.5","57","43.2","19.2","Spondyliosoma cantharus","Black seabream","Chopa","Dorade grise"
"BRB","27.9.a","TLW","ES","79.17","115.62","104.88","140.94","177.24","186.91","123.48","97.18","109.75","74.71","84.23","70.62","97.3","98.8","137","142.8","101.2","Spondyliosoma cantharus","Black seabream","Chopa","Dorade grise"
"BRF","27.8.c","TLW","ES","82.81","86.2","82.19","88","108.6","184.85","244.3","302.66","365.1","850.26","571.26","308.14","71.7","49.2","26","27.1","16.5","Helicolenus dactylopterus","Blackbelly rosefish","Gallineta","Sébaste chèvre"
"BRF","27.9.a","TLW","ES","64.38","67.83","69.63","69.5","61.57","94.08","103.03","109.32","156.53","190.17","187.38","118.54","60.1","43.8","34","37.8","13.5","Helicolenus dactylopterus","Blackbelly rosefish","Gallineta","Sébaste chèvre"
"BRI","27.8.c","TLW","ES","0.03","0","0.01","0","0.01","0","0","0","0","0","0","0","0","0","0","0","0","Gonostomatidae","Bristlemouths","Moritos","Brossés"
"BRI","27.9.a","TLW","ES","0.01","0.01","0","0.03","0","0.01","0","0","0","0.02","0","0","0","0","0","0","0","Gonostomatidae","Bristlemouths","Moritos","Brossés"
"BRO","27.8.c","TLW","ES","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.01","0","0","Carcharhinus brachyurus","Copper shark","Tiburón cobrizo","Requin cuivre"
"BRT","27.9.a","TLW","ES","0","0","0","0.01","0","0","0","0","0","0.02","0","0","0","0","0","0","0","Borostomias antarcticus","Snaggletooth",NA,NA
"BRX","27.8.c","TLW","ES","0.04","0.14","0.07","0.05","0.01","0.02","0.43","76.12","9.34","16.38","0.01","3.69","4.4","0.01","0","0","5","Berycidae","Alfonsinos, etc. nei","Alfonsinos, etc. nep","Béryx, etc. nca"
"BRX","27.9.a","TLW","ES","0","0","0","0","0","0.01","0.02","0.41","1.84","5.59","0.02","0.1","0","0","0","0","0.2","Berycidae","Alfonsinos, etc. nei","Alfonsinos, etc. nep","Béryx, etc. nca"
"BSC","27.8.c","TLW","ES","0","0.05","0.02","0.01","0","0.01","0.29","0.29","0.19","0.12","0","0","0","0","0","0","0","Pagrus caeruleostictus","Bluespotted seabream","Hurta(=Zapata)","Pagre à points bleus"
"BSC","27.9.a","TLW","ES","0","1.72","0.89","1.11","3.59","1.98","2.01","2.28","3.65","4.35","0","0","0","0","0","0","0","Pagrus caeruleostictus","Bluespotted seabream","Hurta(=Zapata)","Pagre à points bleus"
"BSF","27.8.c","TLW","ES","1.61","1.68","1.39","0.88","0.8","0.17","0.93","0.11","0.29","0.42","3.68","0.57","0.5","0.01","0","0.01","0.1","Aphanopus carbo","Black scabbardfish","Sable negro","Sabre noir"
