"year","Galician_name","total_kg","total_euros"
2011,"Cigala",408825.08,5192033.59
2011,"Cochinilla",111275.5,261701.68
2011,"Congro",6172578.39,10773515.64
2011,"Conguito",19363.4,21797.01
2011,"Coreano",3012326.3,8123153.39
2011,"Cornicha",6126.83,32508.24
2011,"Corno",4921.1,7985.3
2011,"Correa",2515,1760.5
2011,"Corvina real",3743.25,15074.95
2011,"Curuxo",30728.11,384135.83
2011,"Dentón",90701.98,142275.88
2011,"Dentón ollón",814,3247.42
2011,"Doncela",10017.45,56152.98
2011,"Dourada",25405.78,271334.52
2011,"Escachos",849233.040000003,1735275.86
2011,"Escarapote de pedra",147906.86,797029.85
2011,"Escarapote de pintas",264114.4,850356.07
2011,"Escarpón",2498.7,1106.16
2011,"Escolar negro",17340,51461.25
2011,"Faneca",1814051.18,3973362.72999998
2011,"Fletán negro",2,6
2011,"Fodón",14098.4,26958.11
2011,"Fogoneiro",36546.6,61181.13
2011,"Galludo",7058.25,35141.86
2011,"Gamba branca",838.5,8841.43
2011,"Gata común",2635.05,8540.48
2011,"Gato de mar",172.5,625.7
2011,"Gavilán",3250.85,173071.2
2011,"Golfo",30941,25410.75
2011,"Lagosta",7187.35,106775.15
2011,"Lagostino",12.4,125.12
2011,"Lamprea de mar",40.75,436.49
2011,"Lapas",445.25,1200.78
2011,"Leituga de mar",1947,1767.45
2011,"Linguado",177109.72,2655399.9
2011,"Lirio",1270555.7,1077005.83
2011,"Longueirón",88424.29,647114.9
2011,"Longueirón vello",354.4,1667.5
2011,"Lumbrigante",2360.75,47734.91
2011,"Lura",559900.7,2750358.63999999
2011,"Maragota",251130.97,577902.499999999
2011,"Marraxo azul",351124.75,1913037.16
2011,"Marraxo sardiñeiro",76.75,230.83
2011,"Maruca",556775.03,1053100.57
2011,"Melga",2699.4,1525.49
2011,"Melgacho",328142.15,302456.51
2011,"Melva",34044.2,44777.09
2011,"Mendo limón",2217840,6844784.58
2011,"Merlán",25451.5,36312.39
2011,"Mero",733204.21,9321186.80000001
2011,"Mexilla",69577.38,62943.42
2011,"Miñoca",44.54,1007.16
2011,"Miñoca de area",599.23,11440.67
2011,"Miñoca de tubo",759.779999999999,17915.4
2011,"Morea",844,1084.91
2011,"Muxos",44848.98,27919.67
2011,"Navalla",289060.2,2368881.49
