"year","Galician_name","total_kg","total_euros","Spanish_name","Scientific_Name","FAO"
2016,"breca",13115.36,37803.08,NA,NA,NA
2016,"cabras",400.1,1224.26,NA,NA,NA
2016,"cangrexo real",5394,40447.02,NA,NA,NA
2016,"carallos de mar nep",32423.5,82306.16,NA,NA,NA
2016,"cazapa",79980,42110.9,NA,NA,NA
2016,"cazón",52097.8,35518.42,NA,NA,NA
2016,"cigala",113140.9,1820941.06,NA,NA,NA
2016,"corno",3211.3,4592.92,NA,NA,NA
2016,"correa",117715.5,59777.85,NA,NA,NA
2016,"escacho de cremalleira",4432.3,6073.53,NA,NA,NA
2016,"escachos",412291.240000001,958027.7,NA,NA,NA
2016,"escolar negro",100656,300219.57,NA,NA,NA
2016,"faneca",1417181.55,2435810.08999999,NA,NA,NA
2016,"fodón",14366.25,24639.88,NA,NA,NA
2016,"galludo",79344,365855.77,NA,NA,NA
2016,"gavilán",2994.03,236729.7,NA,NA,NA
2016,"lapas",554,1692,NA,NA,NA
2016,"leituga de mar",28148,20083.9,NA,NA,NA
2016,"lorchos",14422.45,20541.22,NA,NA,NA
2016,"maragota",329640.55,707962.570000002,NA,NA,NA
2016,"marlíns",702,1209.02,NA,NA,NA
