"year","Galician_name","total_kg","total_euros","Nombre comercial (1)","Nombre científico","Andalucía","Asturias","Baleares","Canarias","Cantabria","Cataluña","Valencia","Murcia","País Vasco","FAO"
2022,"gamba rosada",32.75,492.48,"Gamba roja del mediterráneo","Aristeus antennatus","Gamba roja o rayado",NA,"Gamba rosada",NA,NA,"Gamba rosada",NA,"Gamba roja",NA,"ARA"
2022,"gamba vermella",455.3,8523.82,"Langostino moruno o chorizo","Aristaeomorpha foliacea",NA,NA,"Gamba roja","Gamba roja",NA,"Gamba vermella",NA,NA,NA,"ARS"
2022,"gata común",41.5,132,"Negrito","Etmopterus spinax",NA,NA,"Negret",NA,NA,"Negret",NA,NA,NA,"ETX"
2022,"gavilán",2839.2,252381.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"golfo",373846.5,324234.55,"Abeto marino","Undaria pinnatifida",NA,"Wakame",NA,NA,NA,NA,NA,NA,NA,"UDP"
2022,"jaiba de roca dientuda",203.75,1222.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"lagosta",738.3,13896.225,"Langosta","Palinurus elephas","Langosta o langosta de piedra","Llangosta","Llagosta","Langosta común/langosta de antenas",NA,"Llagosta",NA,NA,NA,"SLO"
2022,"lamprea de mar",6066.8,171749.58,"Lamprea","Petromyzon marinus",NA,NA,"Ferratimó",NA,NA,"Llampresa de mar",NA,NA,NA,"LAU"
2022,"lapa común",137.2,493.92,"Lapa","Patella vulgata",NA,"Llámpara","Petxellida",NA,NA,"Barretet",NA,NA,NA,"QTV"
2022,"linguado",165688.27,2972948.475,"Lenguado europeo","Solea solea","Lenguado macho","Lenguao/rapapelo","Pelaia","Lenguado",NA,"Llenguado","Llenguado","Lenguado","Lengoradua/ mihi-arraia","SOL"
2022,"linguado de area",26999.84,227099.821,"Lenguado de arena","Solea lascaris",NA,NA,NA,NA,NA,"Llenguado d`aleta ocel-lada",NA,NA,NA,"SOS"
2022,"linguado de pintas",2882.95,53124.323,"Lenguado senegalés o lenguado rubio","Solea senegalensis","Lenguado senegalés",NA,NA,NA,NA,"Llenguado senegalès",NA,NA,NA,"OAL"
2022,"lirio",21418128.72,15125513.184,"Bacaladilla","Micromesistius poutassou",NA,"Abril/bacalada","Mare de lluç o maire",NA,"Lirio","Maire","Maire",NA,"Perlita/lirio","WHB"
2022,"lirpia raiada",31152.093,127115.333,"Golleta","Microchirus variegatus",NA,NA,"Llengua",NA,NA,"Llenguadina de bandes",NA,NA,NA,"MKG"
2022,"longueirón",57883.75,531238.733,"Muergo","Ensis siliqua",NA,NA,NA,NA,NA,"Navalla recta",NA,NA,NA,"EQI"
2022,"longueirón vello",29602.6,239937.56,"Longueirón","Solen marginatus",NA,"Muergo/longueiron",NA,NA,"Muergo",NA,NA,NA,NA,"RAE"
2022,"lorchos",9954.85,20024.696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"lumbrigante",22696.75,731215.786,"Bogavante europeo","Homarus gammarus","Bogavante","Bugre/llubricante","Llomantol o grimaldo",NA,"Ollocantaro o abacanto o abrecanto","Llamàntol",NA,"Bogavante o sastre","Abakando/misera","LBE"
2022,"lura",275785.2,3160894.875,"Calamar o calamar europeo","Loligo vulgaris",NA,"Chipirón","Calamar","Calamar","Magano o jibion","Calamar","Calamar","Calamar","Txipiron/begihandi","SQR"
2022,"lura colorada",205.4,3391.8,"Calamar veteado","Loligo forbesi",NA,NA,NA,"Calamar del alto",NA,NA,NA,NA,NA,"SQF"
2022,"madrela",1572.8,12794.04,"Barbada o madreanguila","Ciliata mustela",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LCM"
2022,"maragota",259787.13,679654.661999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"marlín branco",37,68.45,"Aguja blanca del Atlántico","Tetrapturus albidus",NA,NA,NA,"Aguja blanca",NA,"Marlí blanc",NA,NA,NA,"WHM"
2022,"marraxo azul",2190.4,8610.605,"Marrajo","Isurus oxyrinchus",NA,NA,"Marraitx","Marrajo dientuso/janequín",NA,"Solraig",NA,NA,"Txintxorreta","SMA"
2022,"maruca",72267.5,145967.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"maruca do mediterráneo",86,145.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"melga",19.8,59.4,"Mielga","Squalus acanthias",NA,NA,"Quissona","Galludo/pinchudo",NA,"Agullat","Agullat",NA,"Mielka","DGS"
2022,"melgacho",398296.2,183917.988,"Pintarroja","Scyliorhinus canicula","Pintarroja o gata","Patarroxa/riñón","Gató, gatí",NA,"Pintarrosa o pintada","Gat","Gat","Gato","Gato/katuarrain","SYC"
2022,"melva",205,205.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"melvas",1920.8,1830.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"mendo limón",191763.2,479102.28,"Mendo limón o falsa limanda","Microstomus kitt",NA,NA,NA,NA,NA,"Micròstom",NA,NA,NA,"LEM"
