"CodTempo","Year","Month","Establecementos","Viaxeiros/Noites/Estadía media","Procedencia","Zonas turísticas","DatoN","DatoN_normalized"
199910,"1999","Outubro","Turismo rural","Noites","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199910,"1999","Outubro","Turismo rural","Noites","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199910,"1999","Outubro","Turismo rural","Noites","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199910,"1999","Outubro","Turismo rural","Estadía media","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199910,"1999","Outubro","Turismo rural","Estadía media","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199910,"1999","Outubro","Turismo rural","Estadía media","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199911,"1999","Novembro","Hoteleiros","Viaxeiros","Todas as procedencias","Costa da Morte (A Coruña)",4353,0.0566863304293472
199911,"1999","Novembro","Hoteleiros","Viaxeiros","Residentes en España","Costa da Morte (A Coruña)",4294.4,0.0559232201690302
199911,"1999","Novembro","Hoteleiros","Viaxeiros","Residentes no estranxeiro","Costa da Morte (A Coruña)",58.7,0.000764412496256072
199911,"1999","Novembro","Hoteleiros","Noites","Todas as procedencias","Costa da Morte (A Coruña)",9812,0.127775390345223
199911,"1999","Novembro","Hoteleiros","Noites","Residentes en España","Costa da Morte (A Coruña)",9674.7,0.125987420400828
199911,"1999","Novembro","Hoteleiros","Noites","Residentes no estranxeiro","Costa da Morte (A Coruña)",137.1,0.00178536547251631
199911,"1999","Novembro","Hoteleiros","Estadía media","Todas as procedencias","Costa da Morte (A Coruña)",2.3,2.99514265994713e-05
199911,"1999","Novembro","Hoteleiros","Estadía media","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199911,"1999","Novembro","Hoteleiros","Estadía media","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199911,"1999","Novembro","Turismo rural","Viaxeiros","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199911,"1999","Novembro","Turismo rural","Viaxeiros","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199911,"1999","Novembro","Turismo rural","Viaxeiros","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199911,"1999","Novembro","Turismo rural","Noites","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199911,"1999","Novembro","Turismo rural","Noites","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199911,"1999","Novembro","Turismo rural","Noites","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199911,"1999","Novembro","Turismo rural","Estadía media","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199911,"1999","Novembro","Turismo rural","Estadía media","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199911,"1999","Novembro","Turismo rural","Estadía media","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199912,"1999","Decembro","Hoteleiros","Viaxeiros","Todas as procedencias","Costa da Morte (A Coruña)",3622,0.0471669857144717
199912,"1999","Decembro","Hoteleiros","Viaxeiros","Residentes en España","Costa da Morte (A Coruña)",3460.6,0.0450651769087523
199912,"1999","Decembro","Hoteleiros","Viaxeiros","Residentes no estranxeiro","Costa da Morte (A Coruña)",161.4,0.00210180880571942
199912,"1999","Decembro","Hoteleiros","Noites","Todas as procedencias","Costa da Morte (A Coruña)",5960,0.0776132619708039
199912,"1999","Decembro","Hoteleiros","Noites","Residentes en España","Costa da Morte (A Coruña)",5745.3,0.0748173614095402
199912,"1999","Decembro","Hoteleiros","Noites","Residentes no estranxeiro","Costa da Morte (A Coruña)",215.4,0.00280501621283744
199912,"1999","Decembro","Hoteleiros","Estadía media","Todas as procedencias","Costa da Morte (A Coruña)",1.7,2.21380109648266e-05
199912,"1999","Decembro","Hoteleiros","Estadía media","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199912,"1999","Decembro","Hoteleiros","Estadía media","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199912,"1999","Decembro","Turismo rural","Viaxeiros","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199912,"1999","Decembro","Turismo rural","Viaxeiros","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199912,"1999","Decembro","Turismo rural","Viaxeiros","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199912,"1999","Decembro","Turismo rural","Noites","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199912,"1999","Decembro","Turismo rural","Noites","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199912,"1999","Decembro","Turismo rural","Noites","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
199912,"1999","Decembro","Turismo rural","Estadía media","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
199912,"1999","Decembro","Turismo rural","Estadía media","Residentes en España","Costa da Morte (A Coruña)",NA,NA
199912,"1999","Decembro","Turismo rural","Estadía media","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
200001,"2000","Xaneiro","Hoteleiros","Viaxeiros","Todas as procedencias","Costa da Morte (A Coruña)",2466,0.0321131382583897
200001,"2000","Xaneiro","Hoteleiros","Viaxeiros","Residentes en España","Costa da Morte (A Coruña)",2405,0.0313187743355341
200001,"2000","Xaneiro","Hoteleiros","Viaxeiros","Residentes no estranxeiro","Costa da Morte (A Coruña)",61.5,0.00080087510255108
200001,"2000","Xaneiro","Hoteleiros","Noites","Todas as procedencias","Costa da Morte (A Coruña)",4138,0.0538865231602662
200001,"2000","Xaneiro","Hoteleiros","Noites","Residentes en España","Costa da Morte (A Coruña)",3991.1,0.0519735385657173
200001,"2000","Xaneiro","Hoteleiros","Noites","Residentes no estranxeiro","Costa da Morte (A Coruña)",146.6,0.00190907788673152
200001,"2000","Xaneiro","Hoteleiros","Estadía media","Todas as procedencias","Costa da Morte (A Coruña)",1.7,2.21380109648266e-05
200001,"2000","Xaneiro","Hoteleiros","Estadía media","Residentes en España","Costa da Morte (A Coruña)",NA,NA
200001,"2000","Xaneiro","Hoteleiros","Estadía media","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
200001,"2000","Xaneiro","Turismo rural","Viaxeiros","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
200001,"2000","Xaneiro","Turismo rural","Viaxeiros","Residentes en España","Costa da Morte (A Coruña)",NA,NA
200001,"2000","Xaneiro","Turismo rural","Viaxeiros","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
200001,"2000","Xaneiro","Turismo rural","Noites","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
200001,"2000","Xaneiro","Turismo rural","Noites","Residentes en España","Costa da Morte (A Coruña)",NA,NA
200001,"2000","Xaneiro","Turismo rural","Noites","Residentes no estranxeiro","Costa da Morte (A Coruña)",NA,NA
200001,"2000","Xaneiro","Turismo rural","Estadía media","Todas as procedencias","Costa da Morte (A Coruña)",NA,NA
200001,"2000","Xaneiro","Turismo rural","Estadía media","Residentes en España","Costa da Morte (A Coruña)",NA,NA
