"Destinos","Indicadores","Orixe dos viaxeiros","CodTempo","Tempo","DatoN","DatoN_normalized"
"Deza - Tabeirós","Indicador Estacional (1)","Fóra de Galicia",2011,2011,30.8,6.2369486845875e-06
"Ferrolterra","Indicador Estacional (1)","Fóra de Galicia",2011,2011,41.6,7.137470687175e-06
"Lugo e a Terra Chá","Indicador Estacional (1)","Fóra de Galicia",2011,2011,30.3,6.19525785113437e-06
"Manzaneda - Trevinca","Indicador Estacional (1)","Fóra de Galicia",2011,2011,32.9,6.41205018509062e-06
"Mariña Lucense","Indicador Estacional (1)","Fóra de Galicia",2011,2011,57,8.42154835753125e-06
"O Ribeiro","Indicador Estacional (1)","Fóra de Galicia",2011,2011,25.4,5.78668768329375e-06
"Ría de Arousa","Indicador Estacional (1)","Fóra de Galicia",2011,2011,49.3,7.77950952235312e-06
"Ría de Muros e Noia","Indicador Estacional (1)","Fóra de Galicia",2011,2011,71.3,9.61390619429062e-06
"Ría de Vigo e Baixo Miño","Indicador Estacional (1)","Fóra de Galicia",2011,2011,37.9,6.82895851962187e-06
"Ría e Terras de Pontevedra","Indicador Estacional (1)","Fóra de Galicia",2011,2011,42,7.1708233539375e-06
"Ribeira Sacra","Indicador Estacional (1)","Fóra de Galicia",2011,2011,35.1,6.59548985228437e-06
"Terras de Ourense e Allariz","Indicador Estacional (1)","Fóra de Galicia",2011,2011,25.7,5.81170218336562e-06
"Terras de Santiago","Indicador Estacional (1)","Fóra de Galicia",2011,2011,30.3,6.19525785113437e-06
"Verín - Viana","Indicador Estacional (1)","Fóra de Galicia",2011,2011,29.9,6.16190518437187e-06
"Galicia","Indicador Estacional (2)","Fóra de Galicia",2011,2011,NA,NA
"A Coruña e As Mariñas","Indicador Estacional (2)","Fóra de Galicia",2011,2011,NA,NA
"Ancares - Courel","Indicador Estacional (2)","Fóra de Galicia",2011,2011,NA,NA
"Celanova - Limia","Indicador Estacional (2)","Fóra de Galicia",2011,2011,NA,NA
"Costa da Morte","Indicador Estacional (2)","Fóra de Galicia",2011,2011,NA,NA
"Deza - Tabeirós","Indicador Estacional (2)","Fóra de Galicia",2011,2011,NA,NA
"Ferrolterra","Indicador Estacional (2)","Fóra de Galicia",2011,2011,NA,NA
"Lugo e a Terra Chá","Indicador Estacional (2)","Fóra de Galicia",2011,2011,NA,NA
"Manzaneda - Trevinca","Indicador Estacional (2)","Fóra de Galicia",2011,2011,NA,NA
"Mariña Lucense","Indicador Estacional (2)","Fóra de Galicia",2011,2011,NA,NA
"O Ribeiro","Indicador Estacional (2)","Fóra de Galicia",2011,2011,NA,NA
"Ría de Arousa","Indicador Estacional (2)","Fóra de Galicia",2011,2011,NA,NA
"Ría de Muros e Noia","Indicador Estacional (2)","Fóra de Galicia",2011,2011,NA,NA
"Ría de Vigo e Baixo Miño","Indicador Estacional (2)","Fóra de Galicia",2011,2011,NA,NA
"Ría e Terras de Pontevedra","Indicador Estacional (2)","Fóra de Galicia",2011,2011,NA,NA
"Ribeira Sacra","Indicador Estacional (2)","Fóra de Galicia",2011,2011,NA,NA
"Terras de Ourense e Allariz","Indicador Estacional (2)","Fóra de Galicia",2011,2011,NA,NA
"Terras de Santiago","Indicador Estacional (2)","Fóra de Galicia",2011,2011,NA,NA
"Verín - Viana","Indicador Estacional (2)","Fóra de Galicia",2011,2011,NA,NA
"Galicia","Noites","Todas",2012,2012,7946701,0.662612844578908
"A Coruña e As Mariñas","Noites","Todas",2012,2012,1084510,0.090431920369841
"Ancares - Courel","Noites","Todas",2012,2012,67981,0.00567203789129766
"Celanova - Limia","Noites","Todas",2012,2012,45709,0.00381496140596166
"Costa da Morte","Noites","Todas",2012,2012,247193,0.0206150331809005
"Deza - Tabeirós","Noites","Todas",2012,2012,106075,0.00884837911042434
"Ferrolterra","Noites","Todas",2012,2012,349593,0.0291533158721005
"Lugo e a Terra Chá","Noites","Todas",2012,2012,447883,0.0373488999123158
"Manzaneda - Trevinca","Noites","Todas",2012,2012,52655,0.00439413046429247
"Mariña Lucense","Noites","Todas",2012,2012,277153,0.0231131479214118
"O Ribeiro","Noites","Todas",2012,2012,77304,0.00644940517186462
"Ría de Arousa","Noites","Todas",2012,2012,1540807,0.128478724834162
"Ría de Muros e Noia","Noites","Todas",2012,2012,86568,0.00722185293408412
"Ría de Vigo e Baixo Miño","Noites","Todas",2012,2012,1033361,0.0861670314892533
"Ría e Terras de Pontevedra","Noites","Todas",2012,2012,575655,0.0480027422562612
"Ribeira Sacra","Noites","Todas",2012,2012,196836,0.0164161825805025
"Terras de Ourense e Allariz","Noites","Todas",2012,2012,272518,0.0227266738953013
"Terras de Santiago","Noites","Todas",2012,2012,1431453,0.119360606031296
"Verín - Viana","Noites","Todas",2012,2012,53447,0.00446016874448222
"Galicia","Indicador Área","Todas",2012,2012,269,2.60984617416562e-05
